Location,Time,Latitude,Longitude,Altitude,Accuracy,Speed,Bearing,Diferença,dist,Tempo Acumulado (min),Dist. Acumulada (km)
0,2021-07-05 18:06:15+00:00,37.157295,-8.552213,75.58242,8.04,0.7253718,355.07452,0.0,0.0,0,0.0
1,2021-07-05 18:06:18+00:00,37.157284,-8.552268,75.53945,6.094,1.2003579,272.9833,3.0,5.025238978780242,0,0.005
2,2021-07-05 18:07:49+00:00,37.15716,-8.552239,78.13568,10.565,5.5926986,160.16795,91.0,14.025636958035955,1,0.019
3,2021-07-05 18:07:51+00:00,37.15705,-8.552199,77.41786,10.434,5.5338907,140.63094,2.0,12.734751270809275,1,0.032
4,2021-07-05 18:07:52+00:00,37.15701,-8.552156,77.7627,9.648,5.4815598,137.56789,1.0,5.856977520797121,1,0.038
5,2021-07-05 18:07:53+00:00,37.156967,-8.552114,78.988754,9.648,5.391496,138.88326,1.0,6.059320044256164,1,0.044
6,2021-07-05 18:07:54+00:00,37.15692,-8.552073,80.84998,9.648,5.695076,147.20787,1.0,6.3651141931388455,1,0.05
7,2021-07-05 18:07:55+00:00,37.15687,-8.552039,78.01608,9.862,6.0728245,152.1789,1.0,6.323730001886527,1,0.056
8,2021-07-05 18:07:56+00:00,37.156807,-8.552016,79.894455,10.076,6.9975896,166.83469,1.0,7.295788035879269,1,0.064
9,2021-07-05 18:07:57+00:00,37.156723,-8.552007,76.586586,10.291,8.154345,174.52028,1.0,9.374365506333826,1,0.073
10,2021-07-05 18:07:59+00:00,37.15656,-8.55202,75.248474,10.72,8.376437,180.94052,2.0,18.16135094390111,1,0.091
11,2021-07-05 18:08:00+00:00,37.156475,-8.552028,76.20225,10.72,8.976106,178.13292,1.0,9.478121578367492,1,0.101
12,2021-07-05 18:08:01+00:00,37.15638,-8.552024,74.123436,10.505,9.561334,177.04683,1.0,10.569464160794572,1,0.111
13,2021-07-05 18:08:03+00:00,37.156204,-8.552028,75.17813,10.505,9.651414,182.8916,2.0,19.57351729872057,1,0.131
14,2021-07-05 18:08:05+00:00,37.156006,-8.552031,76.06692,10.505,10.025235,181.94768,2.0,22.018200661597874,1,0.153
15,2021-07-05 18:08:06+00:00,37.155914,-8.552035,75.64328,10.541,9.839363,180.10306,1.0,10.236073236492322,1,0.163
16,2021-07-05 18:08:08+00:00,37.155716,-8.552023,73.15313,10.505,10.644665,176.07626,2.0,22.04226462060803,1,0.185
17,2021-07-05 18:08:10+00:00,37.155502,-8.55199,75.79725,10.184,11.29435,173.99828,2.0,23.97475546447885,1,0.209
18,2021-07-05 18:08:11+00:00,37.15539,-8.551973,76.1161,10.005,12.354472,173.0213,1.0,12.54462867399102,1,0.222
19,2021-07-05 18:08:12+00:00,37.15528,-8.551957,75.01514,9.648,12.211482,173.00412,1.0,12.313357818741029,1,0.234
20,2021-07-05 18:08:13+00:00,37.155174,-8.551943,74.982765,9.648,12.1539345,173.00197,1.0,11.851783972426691,1,0.246
21,2021-07-05 18:08:14+00:00,37.155067,-8.551926,74.953766,9.648,12.481561,172.0411,1.0,11.992864828838346,1,0.258
22,2021-07-05 18:08:16+00:00,37.154842,-8.551889,75.71512,10.076,12.298888,172.0097,2.0,25.232824548618588,2,0.283
23,2021-07-05 18:08:18+00:00,37.154625,-8.551854,76.758934,10.505,13.059095,171.02863,2.0,24.327850413792607,2,0.307
24,2021-07-05 18:08:19+00:00,37.1545,-8.551828,75.46982,10.72,13.872627,170.98344,1.0,14.089064679362858,2,0.321
25,2021-07-05 18:08:21+00:00,37.15426,-8.551785,76.04772,10.72,13.583117,170.9972,2.0,26.95749727771539,2,0.348
26,2021-07-05 18:08:23+00:00,37.154003,-8.551735,73.51447,10.72,13.829449,170.04657,2.0,28.918608254572856,2,0.377
