Location,Time,Latitude,Longitude,Altitude,Accuracy,Speed,Bearing,Diferença,dist,Tempo Acumulado (min),Dist. Acumulada (km)
46,2021-07-07 18:12:32+00:00,37.152424,-8.550878,76.85108,4.06,7.30445,236.66084,1.0,7.215847354677804,4,0.592
47,2021-07-07 18:12:34+00:00,37.15234,-8.55106,76.81674,4.38,9.579016,242.18869,2.0,18.63912196196134,4,0.611
48,2021-07-07 18:12:36+00:00,37.15226,-8.551246,76.88682,4.477,8.2127695,241.59302,2.0,18.73148081585807,4,0.629
49,2021-07-07 18:12:37+00:00,37.152225,-8.551322,76.8628,4.611,7.3637304,242.32692,1.0,7.779097612069172,4,0.637
50,2021-07-07 18:12:39+00:00,37.15217,-8.55146,76.88224,4.611,6.734073,242.33221,2.0,13.674242968608711,4,0.651
51,2021-07-07 18:12:41+00:00,37.15211,-8.551577,76.900154,4.693,5.7359376,226.3572,2.0,12.330175000163306,4,0.663
52,2021-07-07 18:12:43+00:00,37.152046,-8.551634,76.87313,4.693,5.734753,193.99324,2.0,8.727191735344928,4,0.672
53,2021-07-07 18:12:44+00:00,37.151993,-8.551635,76.899605,4.712,7.1261353,181.86255,1.0,5.893997474340574,4,0.678
54,2021-07-07 18:12:45+00:00,37.151924,-8.551626,76.90198,4.607,8.113535,175.7089,1.0,7.7138002397140655,4,0.686
55,2021-07-07 18:12:47+00:00,37.15178,-8.551609,76.857086,4.448,8.122165,178.3149,2.0,16.082797204307617,4,0.702
56,2021-07-07 18:12:49+00:00,37.151634,-8.551652,76.869,4.329,8.367732,198.35052,2.0,16.67576085697034,4,0.718
57,2021-07-07 18:12:50+00:00,37.15157,-8.551705,76.93212,4.311,8.7016535,208.23378,1.0,8.52690572952931,4,0.727
58,2021-07-07 18:12:51+00:00,37.151505,-8.551769,76.96631,4.428,8.959946,213.7475,1.0,9.187610865004785,4,0.736
59,2021-07-07 18:12:53+00:00,37.151386,-8.55188,77.00738,4.466,7.380704,213.744,2.0,16.488462300756442,4,0.753
60,2021-07-07 18:12:54+00:00,37.151337,-8.55192,76.98647,4.477,6.0750546,213.14406,1.0,6.500333825522279,4,0.759
61,2021-07-07 18:12:55+00:00,37.151295,-8.551952,76.92128,4.352,5.0612645,212.05597,1.0,5.463875647222276,4,0.764
62,2021-07-07 18:12:57+00:00,37.15123,-8.552002,76.910805,4.2,4.0346093,211.32884,2.0,8.477982439154106,4,0.773
63,2021-07-07 18:12:59+00:00,37.151173,-8.552041,76.87857,4.146,4.0418787,211.74416,2.0,7.219335158340743,4,0.78
64,2021-07-07 18:13:01+00:00,37.151104,-8.552105,76.88578,4.087,5.6312923,225.71361,2.0,9.541478083351038,4,0.79
65,2021-07-07 18:13:03+00:00,37.151028,-8.55219,82.78085,4.216,5.3435135,212.536,2.0,11.32110421134993,5,0.801
66,2021-07-07 18:13:04+00:00,37.150986,-8.552213,82.781044,4.257,5.427407,195.23807,1.0,5.095670380691911,5,0.806
67,2021-07-07 18:13:05+00:00,37.150936,-8.552216,82.79589,4.45,5.776349,178.18515,1.0,5.566100334379713,5,0.812
68,2021-07-07 18:13:07+00:00,37.150837,-8.552134,82.78131,4.189,7.1479445,128.22385,2.0,13.19085807828732,5,0.825
69,2021-07-07 18:13:08+00:00,37.150806,-8.552052,82.798386,4.247,8.23094,112.253105,1.0,8.043526100114674,5,0.833
70,2021-07-07 18:13:09+00:00,37.15079,-8.551955,82.809845,4.26,8.545107,101.127014,1.0,8.779058564742254,5,0.842
71,2021-07-07 18:13:11+00:00,37.15076,-8.551761,82.77553,4.212,8.720767,110.0011,2.0,17.514407848752224,5,0.859
72,2021-07-07 18:13:12+00:00,37.15072,-8.55166,82.734245,4.184,9.990483,116.39434,1.0,9.995533774079187,5,0.869
73,2021-07-07 18:13:13+00:00,37.15067,-8.551552,82.758026,4.137,10.883121,120.41507,1.0,11.06934497754596,5,0.88
74,2021-07-07 18:13:15+00:00,37.150547,-8.551328,82.74767,3.905,11.827331,123.16274,2.0,24.107847624094386,5,0.904
75,2021-07-07 18:13:16+00:00,37.150486,-8.551213,82.71906,3.9,11.980545,122.8241,1.0,12.242925341086558,5,0.917
76,2021-07-07 18:13:17+00:00,37.15043,-8.551097,82.726135,3.9,12.144604,121.92095,1.0,12.01959873879822,5,0.929
77,2021-07-07 18:13:19+00:00,37.15031,-8.550864,82.63902,3.9,12.17326,121.969734,2.0,24.586271055467584,5,0.953
78,2021-07-07 18:13:20+00:00,37.150253,-8.55075,82.64026,3.9,12.06814,122.13219,1.0,11.927075013015397,5,0.965
79,2021-07-07 18:13:21+00:00,37.150196,-8.550636,82.64797,3.9,12.010165,122.09118,1.0,11.927081464328149,5,0.977
80,2021-07-07 18:13:23+00:00,37.15009,-8.550419,82.65292,3.9,10.703746,121.30318,2.0,22.556827266980505,5,1.0
81,2021-07-07 18:13:25+00:00,37.150005,-8.550255,82.62925,4.124,8.064348,122.18362,2.0,17.337857744491252,5,1.017
82,2021-07-07 18:13:26+00:00,37.14997,-8.550194,82.5977,4.124,6.134269,123.085785,1.0,6.661451231162807,5,1.024
83,2021-07-07 18:13:28+00:00,37.14992,-8.55011,82.63749,4.258,3.8967764,125.400604,2.0,9.291721725298967,5,1.033
84,2021-07-07 18:13:30+00:00,37.149876,-8.550047,82.61318,4.059,4.3553305,133.93227,2.0,7.423886110431789,5,1.04
85,2021-07-07 18:13:32+00:00,37.149815,-8.549984,82.63611,4.059,4.8948164,148.42426,2.0,8.78546667340788,5,1.049
86,2021-07-07 18:13:35+00:00,37.1497,-8.549897,82.6555,4.084,4.785659,130.17438,3.0,14.932289745571525,5,1.064
87,2021-07-07 18:13:36+00:00,37.149677,-8.549846,82.64375,4.249,6.077768,111.46343,1.0,5.1934453141272385,5,1.069
88,2021-07-07 18:13:38+00:00,37.149647,-8.549688,82.68473,4.191,7.5315123,102.48079,2.0,14.39524579012145,5,1.084
89,2021-07-07 18:13:39+00:00,37.149628,-8.549599,82.707184,4.028,8.009617,106.597305,1.0,8.166024981072574,5,1.092
90,2021-07-07 18:13:41+00:00,37.14955,-8.549419,82.71353,4.006,8.971669,123.61395,2.0,18.158492737229096,5,1.11
91,2021-07-07 18:13:43+00:00,37.149437,-8.54925,82.71945,4.088,9.81344,128.87813,2.0,19.55072848321658,5,1.13
92,2021-07-07 18:13:44+00:00,37.149376,-8.549159,82.72453,4.109,10.476325,128.46455,1.0,10.538325002208392,5,1.14
93,2021-07-07 18:13:46+00:00,37.14925,-8.548953,82.8098,4.123,11.6656475,126.64758,2.0,23.013882126220647,5,1.163
94,2021-07-07 18:13:47+00:00,37.149185,-8.548844,82.83099,3.979,11.82656,126.27829,1.0,12.06511488854951,5,1.175
95,2021-07-07 18:13:49+00:00,37.149063,-8.548632,82.80529,3.976,11.479345,126.78286,2.0,23.174899380601985,5,1.198
96,2021-07-07 18:13:51+00:00,37.148952,-8.548448,82.84696,4.082,9.535812,127.4379,2.0,20.45209616792632,5,1.219
97,2021-07-07 18:13:53+00:00,37.14887,-8.548333,82.84644,4.347,4.560606,134.94675,2.0,13.675659398865966,5,1.232
98,2021-07-07 18:13:55+00:00,37.148823,-8.548298,82.812775,4.433,3.2862046,151.22336,2.0,6.077457886195658,5,1.239
99,2021-07-07 18:13:57+00:00,37.14877,-8.548272,82.78112,4.595,4.2464952,154.11371,2.0,6.3278380513275625,5,1.245
100,2021-07-07 18:14:00+00:00,37.148632,-8.548218,82.831635,4.669,6.912337,165.91574,3.0,16.07395610634022,5,1.261
101,2021-07-07 18:14:01+00:00,37.148567,-8.548207,82.79399,4.669,7.4650135,172.18692,1.0,7.293127808998569,5,1.268
102,2021-07-07 18:14:03+00:00,37.148422,-8.548222,68.75094,4.656,8.094827,188.2507,2.0,16.177982270846563,6,1.284
103,2021-07-07 18:14:05+00:00,37.148262,-8.548285,69.71904,4.65,9.435251,198.2843,2.0,18.646834591649334,6,1.303
104,2021-07-07 18:14:06+00:00,37.14818,-8.548327,70.4032,4.7,9.903773,200.7368,1.0,9.848583251480449,6,1.313
105,2021-07-07 18:14:08+00:00,37.148003,-8.548424,71.80426,4.7,10.283296,201.76741,2.0,21.47727676949933,6,1.334
106,2021-07-07 18:14:09+00:00,37.14792,-8.548468,70.72865,4.7,10.103382,202.14944,1.0,10.019278418905932,6,1.344
107,2021-07-07 18:14:10+00:00,37.14783,-8.548512,72.27796,4.7,10.373626,202.00586,1.0,10.740537989376838,6,1.355
108,2021-07-07 18:14:12+00:00,37.147648,-8.548611,70.81465,4.7,11.312118,202.2444,2.0,22.057819694890487,6,1.377
109,2021-07-07 18:14:13+00:00,37.14755,-8.54866,71.5997,4.7,11.725895,201.539,1.0,11.730644580985786,6,1.389
110,2021-07-07 18:14:14+00:00,37.147446,-8.548711,70.91355,4.7,12.1374855,201.14647,1.0,12.416309131082796,6,1.401
111,2021-07-07 18:14:16+00:00,37.147236,-8.548812,69.58961,4.7,12.539837,200.50893,2.0,25.008021640309426,6,1.426
112,2021-07-07 18:14:18+00:00,37.147026,-8.548906,71.98556,4.7,11.685479,199.88777,2.0,24.792713336681874,6,1.451
113,2021-07-07 18:14:19+00:00,37.146927,-8.548945,70.57268,4.7,11.2202,198.10625,1.0,11.53824533750474,6,1.463
114,2021-07-07 18:14:21+00:00,37.146732,-8.549004,73.56664,4.7,10.57949,192.66818,2.0,22.30467831142111,6,1.485
115,2021-07-07 18:14:23+00:00,37.14654,-8.549051,71.053406,4.7,10.732087,191.28954,2.0,21.75204211383994,6,1.507
116,2021-07-07 18:14:25+00:00,37.146347,-8.549093,72.03637,4.7,11.058821,188.97752,2.0,21.78108946837435,6,1.529
117,2021-07-07 18:14:26+00:00,37.146248,-8.549111,72.645676,4.741,11.250797,188.2747,1.0,11.123304566723434,6,1.54
118,2021-07-07 18:14:28+00:00,37.146038,-8.549138,73.12584,4.722,11.622593,185.71361,2.0,23.473241404979277,6,1.563
119,2021-07-07 18:14:30+00:00,37.145824,-8.549153,71.65458,4.646,11.542119,182.72418,2.0,23.83282600912777,6,1.587
120,2021-07-07 18:14:32+00:00,37.14561,-8.5491495,74.4437,4.462,11.81911,179.09676,2.0,23.7977363293656,6,1.611
121,2021-07-07 18:14:34+00:00,37.145397,-8.549132,74.898026,4.119,12.271741,176.2296,2.0,23.73525548944063,6,1.635
122,2021-07-07 18:14:35+00:00,37.145283,-8.549118,74.07656,4.06,12.389052,174.67299,1.0,12.736811789421223,6,1.647
123,2021-07-07 18:14:37+00:00,37.145065,-8.549079,74.92011,4.308,12.246117,171.53703,2.0,24.485722486537266,6,1.672
124,2021-07-07 18:14:38+00:00,37.14496,-8.549055,76.88645,4.301,12.28078,170.27292,1.0,11.867672148210774,6,1.684
125,2021-07-07 18:14:40+00:00,37.14475,-8.548999,73.85176,4.234,11.400987,166.72543,2.0,23.872639884899982,6,1.707
126,2021-07-07 18:14:41+00:00,37.144653,-8.548967,75.90667,4.188,10.851993,164.37456,1.0,11.152600917356745,6,1.719
127,2021-07-07 18:14:42+00:00,37.14456,-8.548934,75.9681,3.972,10.483369,163.4712,1.0,10.74682751326122,6,1.729
128,2021-07-07 18:14:43+00:00,37.144478,-8.548901,74.1236,4.016,9.61881,162.26941,1.0,9.575647307131756,6,1.739
129,2021-07-07 18:14:45+00:00,37.144337,-8.548847,75.42405,3.967,7.006519,163.02078,2.0,16.392790936957212,6,1.755
130,2021-07-07 18:14:47+00:00,37.14425,-8.548831,73.75928,3.995,3.3527014,173.55582,2.0,9.777355042315525,6,1.765
131,2021-07-07 18:14:54+00:00,37.144203,-8.54885,72.64697,4.675,1.3695501,206.41972,7.0,5.490798721372224,6,1.771
132,2021-07-07 18:14:58+00:00,37.144104,-8.548871,72.07332,4.654,2.9488008,201.31914,4.0,11.164552464898854,6,1.782
133,2021-07-07 18:15:00+00:00,37.144054,-8.5489025,72.103035,4.669,4.5788584,203.43552,2.0,6.221428544194475,6,1.788
134,2021-07-07 18:15:01+00:00,37.144005,-8.548931,72.054955,4.68,5.9539375,199.59163,1.0,6.0056626789790295,6,1.794
135,2021-07-07 18:15:03+00:00,37.14388,-8.548962,72.08229,4.7,5.94211,177.47502,2.0,14.16835497989487,7,1.808
136,2021-07-07 18:15:05+00:00,37.14376,-8.5489025,72.090645,4.7,6.496211,140.5848,2.0,14.347803820675468,7,1.823
137,2021-07-07 18:15:07+00:00,37.143673,-8.548771,72.129,4.45,6.6829286,125.65868,2.0,15.147261657279522,7,1.838
138,2021-07-07 18:15:09+00:00,37.143612,-8.548668,72.18112,4.13,4.0465364,135.97462,2.0,11.37347091278,7,1.849
139,2021-07-07 18:15:11+00:00,37.143562,-8.548635,72.137245,3.97,1.7312253,154.63908,2.0,6.2822272734451,7,1.855
140,2021-07-07 18:16:53+00:00,37.143528,-8.548568,72.0754,3.9,1.8021818,121.01548,102.0,7.039920689899545,8,1.862
141,2021-07-07 18:16:56+00:00,37.143486,-8.548506,72.107216,3.9,3.6751666,137.71817,3.0,7.211840473864168,8,1.87
142,2021-07-07 18:16:58+00:00,37.143414,-8.548435,72.14786,3.9,4.144064,144.15854,2.0,10.183356921437673,8,1.88
143,2021-07-07 18:17:00+00:00,37.143333,-8.548358,72.196075,3.9,6.699413,149.4361,2.0,11.300575309267629,8,1.891
144,2021-07-07 18:17:01+00:00,37.14328,-8.548321,72.19773,3.939,6.5591135,153.0281,1.0,6.74439164310764,8,1.898
145,2021-07-07 18:17:03+00:00,37.143166,-8.54826,72.13042,3.931,6.884916,157.57243,2.0,13.781163761713104,9,1.912
146,2021-07-07 18:17:05+00:00,37.143063,-8.548205,72.17639,3.945,5.882745,156.12418,2.0,12.447442954246785,9,1.924
147,2021-07-07 18:17:07+00:00,37.142982,-8.548164,72.20664,3.955,4.842688,159.20401,2.0,9.71231304975384,9,1.934
148,2021-07-07 18:17:10+00:00,37.142895,-8.548122,72.269646,4.378,3.5482922,160.48518,3.0,10.365537672030312,9,1.944
149,2021-07-07 18:17:13+00:00,37.142807,-8.548081,72.28164,4.732,3.9036598,159.34325,3.0,10.4382022128135,9,1.955
150,2021-07-07 18:17:15+00:00,37.142727,-8.54804,69.397804,5.036,5.350789,158.32204,2.0,9.609290286793872,9,1.964
151,2021-07-07 18:17:16+00:00,37.142685,-8.548018,69.39403,4.988,5.051867,156.4864,1.0,5.060950843005938,9,1.969
152,2021-07-07 18:17:19+00:00,37.142582,-8.547968,69.45628,4.674,3.7584002,161.36998,3.0,12.280652820527367,9,1.981
153,2021-07-07 18:17:22+00:00,37.142494,-8.547927,68.203094,4.674,1.9639575,149.38133,3.0,10.438207447717499,9,1.992
154,2021-07-07 18:17:33.127000+00:00,37.14242,-8.547888,67.77567,4.61,3.293676,154.6806,11.127,8.925070606654511,9,2.001
155,2021-07-07 18:17:36+00:00,37.14235,-8.547862,67.755196,4.647,4.162971,158.52022,2.873,8.117648092843801,9,2.009
156,2021-07-07 18:17:38+00:00,37.142265,-8.547826,67.7871,4.828,4.7133613,158.37274,2.0,9.975688845781542,9,2.019
157,2021-07-07 18:17:39+00:00,37.14222,-8.547805,67.754425,4.994,4.819398,158.84253,1.0,5.338775041820738,9,2.024
158,2021-07-07 18:17:41+00:00,37.142128,-8.547762,67.70731,4.744,4.553402,158.32547,2.0,10.916891856613239,9,2.035
159,2021-07-07 18:17:43+00:00,37.14206,-8.547724,67.72931,4.776,3.8951435,156.69852,2.0,8.27753834958772,9,2.043
160,2021-07-07 18:17:45+00:00,37.141975,-8.547682,67.70296,4.781,3.6624773,157.18332,2.0,10.158316075417808,9,2.054
161,2021-07-07 18:17:47+00:00,37.14193,-8.54766,67.71105,4.597,2.9344666,156.24187,2.0,5.370324436145248,9,2.059
162,2021-07-07 18:17:51+00:00,37.141888,-8.547634,67.687546,4.835,0.0051672165,90.701,4.0,5.207859049703025,9,2.064
163,2021-07-07 18:17:56+00:00,37.14183,-8.5476055,67.90194,4.475,1.9059253,158.86928,5.0,6.926411959108004,9,2.071
164,2021-07-07 18:17:58+00:00,37.141785,-8.547586,67.86451,4.317,3.431531,159.85965,2.0,5.293889035460471,9,2.076
165,2021-07-07 18:18:01+00:00,37.14168,-8.547542,70.94512,4.323,3.4765985,158.60226,3.0,12.309640061217072,9,2.089
166,2021-07-07 18:18:03+00:00,37.14162,-8.54751,70.99199,4.267,3.050016,155.98874,2.0,7.249611685311076,10,2.096
167,2021-07-07 18:18:06+00:00,37.14153,-8.547465,71.04234,3.938,3.776341,159.68352,3.0,10.773158554114588,10,2.107
168,2021-07-07 18:18:08+00:00,37.141457,-8.547429,71.00572,4.257,4.2162743,157.42633,2.0,8.721917913751293,10,2.115
169,2021-07-07 18:18:10+00:00,37.141388,-8.547393,71.01617,4.454,5.114864,158.51262,2.0,8.30956931254958,10,2.124
170,2021-07-07 18:18:12+00:00,37.141277,-8.5473385,70.998276,4.497,6.6035247,159.12273,2.0,13.254338721576069,10,2.137
171,2021-07-07 18:18:14+00:00,37.141163,-8.547281,71.009605,4.365,6.5578747,157.40683,2.0,13.662480903473924,10,2.151
172,2021-07-07 18:18:15+00:00,37.14111,-8.547254,71.01239,4.383,6.303982,156.42044,1.0,6.360740942254814,10,2.157
173,2021-07-07 18:18:17+00:00,37.14101,-8.547206,71.01764,4.429,5.362995,158.36261,2.0,11.9056890269386,10,2.169
174,2021-07-07 18:18:19+00:00,37.140938,-8.547172,71.03437,4.467,4.1117983,157.91542,2.0,8.554484043632112,10,2.178
175,2021-07-07 18:18:21+00:00,37.140873,-8.547141,70.95612,4.584,3.376021,155.98146,2.0,7.732382272720553,10,2.185
176,2021-07-07 18:18:23+00:00,37.140823,-8.547117,70.98574,4.603,2.72303,159.44884,2.0,5.952846644363832,10,2.191
177,2021-07-07 18:18:26+00:00,37.140747,-8.54709,70.98289,4.731,3.3013985,160.48784,3.0,8.783165226894102,10,2.2
178,2021-07-07 18:18:28+00:00,37.140694,-8.547066,70.99937,4.763,2.9237185,156.1734,2.0,6.265538344406316,10,2.206
179,2021-07-07 18:18:31+00:00,37.140625,-8.547045,70.95565,4.802,2.4975705,164.11952,3.0,7.89502506676489,10,2.214
180,2021-07-07 18:18:35+00:00,37.14054,-8.547005,70.984474,4.7,2.5952163,157.28375,4.0,10.09471952454686,10,2.224
181,2021-07-07 18:18:37+00:00,37.1405,-8.546977,70.9565,4.749,2.7175653,150.39613,2.0,5.0934076900453755,10,2.229
182,2021-07-07 18:18:40+00:00,37.14042,-8.5469265,70.95467,4.742,3.308592,157.50108,3.0,9.95836283289185,10,2.239
