Location,Time,Latitude,Longitude,Altitude,Accuracy,Speed,Bearing,Diferença,dist,Tempo Acumulado (min),Dist. Acumulada (km)
0,2021-07-05 18:31:36+00:00,37.14718,-8.55939,99.91149,3.9,2.4478614,300.9524,0.0,0.0,0,0.0
1,2021-07-05 18:31:38+00:00,37.147205,-8.5594425,100.05675,5.344,2.8404982,304.62106,2.0,5.420312159652237,0,0.005
2,2021-07-05 18:31:40+00:00,37.147236,-8.559495,99.968575,5.585,2.756043,306.49118,2.0,5.790870107879451,0,0.011
3,2021-07-05 18:31:43+00:00,37.14728,-8.559561,99.99755,3.9,2.7720153,310.1943,3.0,7.626033474117749,0,0.019
4,2021-07-05 18:31:46+00:00,37.147343,-8.559678,99.334404,4.312,4.250049,301.83673,3.0,12.514366865390746,0,0.031
5,2021-07-05 18:31:48+00:00,37.147396,-8.559787,99.37197,4.253,5.745578,302.43658,2.0,11.316523013904591,0,0.043
6,2021-07-05 18:31:50+00:00,37.147472,-8.559918,99.40497,3.9,6.975163,305.17062,2.0,14.360568419361316,0,0.057
7,2021-07-05 18:31:52+00:00,37.147556,-8.560063,99.43301,3.9,7.7842607,306.03503,2.0,15.887286358477775,0,0.073
8,2021-07-05 18:31:53+00:00,37.147602,-8.560138,99.4752,3.9,7.95919,306.29248,1.0,8.387512673510034,0,0.081
9,2021-07-05 18:31:55+00:00,37.147686,-8.560283,99.51761,3.9,7.7947555,305.1289,2.0,15.887268488495362,0,0.097
10,2021-07-05 18:31:56+00:00,37.147724,-8.560357,99.4939,3.9,7.8100395,303.642,1.0,7.801982482248348,0,0.105
11,2021-07-05 18:31:58+00:00,37.147793,-8.560498,99.51502,3.9,7.4060707,300.18146,2.0,14.66431023391459,0,0.12
12,2021-07-05 18:31:59+00:00,37.14782,-8.560574,99.50112,3.9,7.320128,296.71515,1.0,7.374753149878564,0,0.127
13,2021-07-05 18:32:00+00:00,37.147846,-8.560656,99.44066,3.9,7.5231986,292.61423,1.0,7.821678710955999,0,0.135
14,2021-07-05 18:32:01+00:00,37.14787,-8.56074,99.40992,3.9,7.7601676,290.92737,1.0,7.908869457637125,0,0.143
15,2021-07-05 18:32:03+00:00,37.14791,-8.5609,99.45351,3.9,7.4367623,285.54422,2.0,14.862146546347436,0,0.158
16,2021-07-05 18:32:04+00:00,37.147926,-8.56098,99.46447,3.9,7.301688,284.28232,1.0,7.310290820093492,0,0.165
17,2021-07-05 18:32:06+00:00,37.147964,-8.561165,99.554726,3.9,8.331783,282.3081,2.0,16.93244705054638,0,0.182
18,2021-07-05 18:32:08+00:00,37.147987,-8.561368,99.53196,3.9,8.977245,277.94116,2.0,18.172969143165577,0,0.2
19,2021-07-05 18:32:10+00:00,37.148003,-8.561539,99.53747,3.9,7.5364814,277.7502,2.0,15.259979036307394,0,0.215
20,2021-07-05 18:32:12+00:00,37.14803,-8.5616665,99.51108,3.9,6.108322,288.4207,2.0,11.692473569648705,0,0.227
21,2021-07-05 18:32:13+00:00,37.14806,-8.561718,99.529465,3.9,5.7297535,299.0912,1.0,5.653539958059739,0,0.233
