,Circuit,contentores,tipo,volume,percentagem,estado,Recolhidos,Fora do Contentor,Uso Comercial,Latitude,Longitude,%_recolhidos,vol_instalado_m3,vol_cont_recolhidos_m3,vol_recolhido_m3
47,4,1,Contentor semi-enterrado,3000,0.75,Bom,1,Não,Não,37.141778,-8.550207,1.0,3.0,3.0,2.25
48,2,2,Contentor semi-enterrado,3000,0.5,Bom,2,Não,Não,37.127061,-8.544296,1.0,6.0,6.0,3.0
49,4,2,Contentor semi-enterrado,3000,0.75,Bom,2,Não,Não,37.142303,-8.550382,1.0,6.0,6.0,4.5
50,2,3,Contentor semi-enterrado,3000,0.75,Bom,3,Não,Não,37.127888,-8.545758,1.0,9.0,9.0,6.75
51,4,1,Contentor semi-enterrado,3000,1.0,Bom,1,Não,Não,37.143544,-8.550435,1.0,3.0,3.0,3.0
52,4,2,Rectangular c/ rodas,1100,0.75,Bom,2,Não,Não,37.142799,-8.552139,1.0,2.2,2.2,1.6500000000000001
53,4,2,Contentor semi-enterrado,3000,0.75,Bom,2,Sim,Não,37.142138,-8.554214,1.0,6.0,6.0,4.5
54,2,1,Contentor semi-enterrado,3000,0.5,Bom,1,Não,Não,37.127388,-8.539982,1.0,3.0,3.0,1.5
55,2,3,Contentor semi-enterrado,3000,0.75,Bom,2,Não,Não,37.125675,-8.540502,0.6666666666666666,9.0,6.0,4.5
56,4,1,Contentor semi-enterrado,3000,0.75,Bom,1,Não,Não,37.141262,-8.552657,1.0,3.0,3.0,2.25
57,4,3,Rectangular c/ rodas,1100,0.5,Bom,3,Sim,Não,37.138994,-8.554458,1.0,3.3000000000000003,3.3000000000000003,1.6500000000000001
58,2,2,Contentor semi-enterrado,3000,0.5,Bom,2,Não,Não,37.125489,-8.541853,1.0,6.0,6.0,3.0
59,4,1,Contentor semi-enterrado,3000,1.0,Bom,1,Não,Não,37.140729,-8.556175,1.0,3.0,3.0,3.0
60,2,2,Contentor semi-enterrado,3000,0.5,Bom,2,Não,Não,37.126149,-8.538172,1.0,6.0,6.0,3.0
61,4,1,Contentor semi-enterrado,3000,0.75,Bom,1,Não,Não,37.140418,-8.559351,1.0,3.0,3.0,2.25
62,4,2,Contentor semi-enterrado,3000,0.75,Bom,2,Não,Não,37.140418,-8.559351,1.0,6.0,6.0,4.5
63,2,2,Contentor semi-enterrado,3000,0.75,Bom,1,Sim,Não,37.122883,-8.535954,0.5,6.0,3.0,2.25
64,4,1,Contentor semi-enterrado,3000,0.75,Bom,1,Não,Não,37.141353,-8.560623,1.0,3.0,3.0,2.25
65,2,3,Contentor semi-enterrado,3000,1.0,Bom,3,Não,Não,37.124682,-8.536359,1.0,9.0,9.0,9.0
66,4,2,Contentor semi-enterrado,3000,0.75,Bom,2,Não,Não,37.14185,-8.561364,1.0,6.0,6.0,4.5
67,2,1,Contentor semi-enterrado,3000,0.75,Bom,1,Não,Não,37.126451,-8.536474,1.0,3.0,3.0,2.25
68,4,1,Contentor semi-enterrado,3000,0.75,Bom,1,Sim,Não,37.142862,-8.561738,1.0,3.0,3.0,2.25
69,2,3,Contentor semi-enterrado,3000,0.5,Bom,3,Não,Não,37.127525,-8.53479,1.0,9.0,9.0,4.5
70,4,2,Contentor semi-enterrado,3000,0.75,Bom,2,Não,Não,37.142006,-8.563126,1.0,6.0,6.0,4.5
71,4,2,Contentor semi-enterrado,3000,1.0,Bom,2,Não,Não,37.140522,-8.562302,1.0,6.0,6.0,6.0
72,2,3,Contentor semi-enterrado,3000,0.75,Bom,2,Não,Não,37.126369,-8.535894,0.6666666666666666,9.0,6.0,4.5
73,4,3,Contentor semi-enterrado,3000,0.75,Bom,1,Não,Não,37.139923,-8.560084,0.3333333333333333,9.0,3.0,2.25
74,2,2,Contentor semi-enterrado,3000,0.5,Bom,1,Não,Não,37.123959,-8.537027,0.5,6.0,3.0,1.5
75,2,2,Contentor semi-enterrado,3000,0.75,Bom,1,Não,Não,37.126055,-8.537357,0.5,6.0,3.0,2.25
76,2,2,Contentor semi-enterrado,3000,0.75,Bom,2,Não,Não,37.127267,-8.538574,1.0,6.0,6.0,4.5
77,2,1,Contentor semi-enterrado,3000,0.75,Bom,1,Não,Não,37.12774,-8.537411,1.0,3.0,3.0,2.25
78,2,1,Contentor semi-enterrado,3000,0.5,Bom,1,Não,Não,37.128131,-8.538822,1.0,3.0,3.0,1.5
