Location,Time,Latitude,Longitude,Altitude,Accuracy,Speed,Bearing,Diferença,dist,Tempo Acumulado (min),Dist. Acumulada (km)
0,2021-07-07 18:09:25.001000+00:00,37.157288,-8.552251,82.92875,8.0,1.2106329,0.5066963,0.0,0.0,0,0.0
1,2021-07-07 18:11:23+00:00,37.15735,-8.552298,85.91365,3.9,1.6938673,321.36395,117.999,8.054617355408393,1,0.008
2,2021-07-07 18:11:26+00:00,37.157387,-8.552337,86.19874,4.647,1.7574131,320.9898,3.0,5.3732620779785085,2,0.013
3,2021-07-07 18:11:33.050000+00:00,37.157333,-8.552335,86.09035,4.222,0.7901924,179.3579,7.05,6.007141336710546,2,0.019
4,2021-07-07 18:11:36.542000+00:00,37.15729,-8.552305,86.51302,4.749,1.1241505,171.21964,3.492,5.47081257620348,2,0.025
5,2021-07-07 18:11:42+00:00,37.15725,-8.5522585,86.52824,4.815,1.083266,161.17998,5.458,6.06335012793568,2,0.031
6,2021-07-07 18:12:42+00:00,37.15719,-8.552271,79.1416,4.752,1.8451854,173.97682,60.0,6.763034773124428,3,0.038
7,2021-07-07 18:12:43+00:00,37.157116,-8.552252,79.14159,4.638,5.552241,166.56514,1.0,8.398934903183775,3,0.046
8,2021-07-07 18:12:45+00:00,37.15698,-8.5521755,79.126724,4.362,7.182637,154.13292,2.0,16.572611639468363,3,0.063
9,2021-07-07 18:12:47+00:00,37.15693,-8.552092,79.137596,3.9,4.740894,131.70627,2.0,9.255705113125344,3,0.072
10,2021-07-07 18:12:49+00:00,37.156815,-8.552003,79.20144,3.9,6.422788,162.45355,2.0,15.02419927355111,3,0.087
11,2021-07-07 18:12:50+00:00,37.15675,-8.551991,79.20668,3.9,6.84453,177.21275,1.0,7.305487066192409,3,0.094
12,2021-07-07 18:12:51+00:00,37.15668,-8.551989,79.22712,3.9,7.1011972,178.03177,1.0,7.7856625929690715,3,0.102
13,2021-07-07 18:12:53+00:00,37.156563,-8.551985,79.32129,3.9,6.6338854,176.9764,2.0,13.014634908562297,3,0.115
14,2021-07-07 18:12:54+00:00,37.1565,-8.551983,79.317154,3.9,6.846031,175.33711,1.0,7.007522240896934,3,0.122
15,2021-07-07 18:12:55+00:00,37.156433,-8.551983,79.32939,3.9,7.0513654,176.94577,1.0,7.450060084935428,3,0.13
16,2021-07-07 18:12:57+00:00,37.15632,-8.551985,79.37294,3.9,6.375727,177.57582,2.0,12.56627674171037,3,0.142
17,2021-07-07 18:12:59+00:00,37.156265,-8.551996,79.360664,3.9,3.6324048,181.45895,2.0,6.1929270781779975,3,0.148
18,2021-07-07 18:13:36.612000+00:00,37.15621,-8.551997,75.461075,4.937,1.6382357,181.32327,37.612,6.1163630266962965,4,0.154
19,2021-07-07 18:13:40+00:00,37.156166,-8.551998,75.434364,5.018,2.6220486,188.95226,3.388,4.893379327947458,4,0.159
20,2021-07-07 18:13:43+00:00,37.15602,-8.551997,75.43525,4.854,5.842115,181.36066,3.0,16.234701174352995,4,0.176
21,2021-07-07 18:13:45+00:00,37.15589,-8.551995,75.41779,4.3,6.976632,179.12117,2.0,14.456427054133425,4,0.19
