Location,Time,Latitude,Longitude,Altitude,Accuracy,Speed,Bearing,Diferença,dist,Tempo Acumulado (min),Dist. Acumulada (km)
0,2021-07-06 18:09:13+00:00,37.157246,-8.552305,90.281654,6.696,4.058767,162.92276,0.0,0.0,0,0.0
1,2021-07-06 18:09:16+00:00,37.157127,-8.552243,89.07709,10.081,3.7135441,244.47972,3.0,14.327598929614581,0,0.014
2,2021-07-06 18:09:18+00:00,37.157024,-8.552206,88.58493,9.976,5.6570625,158.84497,2.0,11.913208384624175,0,0.026
3,2021-07-06 18:09:19+00:00,37.156975,-8.552166,89.24412,10.483,5.3154736,142.55759,1.0,6.5001896677248965,0,0.033
4,2021-07-06 18:09:20+00:00,37.15694,-8.55212,86.855255,9.565,5.02898,132.842,1.0,5.636001158136681,0,0.038
5,2021-07-06 18:09:22+00:00,37.156876,-8.552026,85.85381,3.9,5.653639,141.39716,2.0,10.956220212609251,0,0.049
6,2021-07-06 18:09:23+00:00,37.15683,-8.551991,86.49247,3.9,5.9905143,155.82596,1.0,5.981937456614808,0,0.055
7,2021-07-06 18:09:24+00:00,37.156776,-8.551973,86.81752,3.9,6.01179,165.25932,1.0,6.212802203324393,0,0.062
8,2021-07-06 18:09:26+00:00,37.156662,-8.55196,85.75003,3.9,6.11917,171.97935,2.0,12.728466622467087,0,0.074
9,2021-07-06 18:09:27+00:00,37.1566,-8.551954,85.00186,3.9,6.3221416,176.62236,1.0,6.914560465396689,0,0.081
10,2021-07-06 18:09:29+00:00,37.156483,-8.551953,84.633316,3.9,6.6883464,177.09726,2.0,13.010108250360705,0,0.094
11,2021-07-06 18:09:30+00:00,37.15642,-8.55195,84.952934,3.9,6.3760905,177.0118,1.0,7.010323571800979,0,0.101
12,2021-07-06 18:09:32+00:00,37.1563,-8.55195,85.09989,3.9,6.6856403,179.89926,2.0,13.343391196350307,0,0.115
13,2021-07-06 18:09:33+00:00,37.156235,-8.55195,84.49396,3.9,6.765311,179.99495,1.0,7.227670232181627,0,0.122
14,2021-07-06 18:09:34+00:00,37.156174,-8.551951,85.42408,3.9,6.877304,181.77373,1.0,6.7834694396487185,0,0.129
15,2021-07-06 18:09:36+00:00,37.156055,-8.5519705,84.274216,4.029,6.3327394,186.58128,2.0,13.34456510603509,0,0.142
16,2021-07-06 18:09:37+00:00,37.156006,-8.551985,84.30048,4.347,6.064535,187.012,1.0,5.598032982215267,0,0.147
17,2021-07-06 18:09:39+00:00,37.155895,-8.552007,84.67515,4.58,6.988244,184.12018,2.0,12.495676470429848,0,0.16
18,2021-07-06 18:09:41+00:00,37.155766,-8.552009,82.54043,4.716,7.3071303,180.13809,2.0,14.345240553904219,0,0.174
19,2021-07-06 18:09:42+00:00,37.1557,-8.552003,83.04317,4.645,7.3878775,175.52025,1.0,7.358103065803217,0,0.182
20,2021-07-06 18:09:44+00:00,37.155556,-8.551973,81.34831,4.288,8.342852,171.9856,2.0,16.231292627615613,0,0.198
21,2021-07-06 18:09:46+00:00,37.1554,-8.551932,81.0214,4.288,8.674344,169.98967,2.0,17.72287549247292,0,0.216
22,2021-07-06 18:09:48+00:00,37.155243,-8.551899,80.98708,4.288,8.640527,170.8983,2.0,17.70087186776522,0,0.233
23,2021-07-06 18:09:50+00:00,37.155083,-8.551866,80.34723,4.288,8.925891,169.94229,2.0,18.02995732590213,0,0.251
24,2021-07-06 18:09:52+00:00,37.15492,-8.551831,80.24761,4.288,9.356032,171.89116,2.0,18.38827238260595,0,0.27
