Location,Time,Latitude,Longitude,Altitude,Accuracy,Speed,Bearing,Diferença,dist,Tempo Acumulado (min),Dist. Acumulada (km)
40,2021-07-08 18:20:51+00:00,37.156185,-8.546303,89.93274,15.479,6.9689975,334.1736,63.0,34.058330800753424,13,1.586
41,2021-07-08 18:20:54+00:00,37.15637,-8.546436,86.94094,9.648,7.4855723,326.40607,3.0,23.708510667360496,13,1.61
42,2021-07-08 18:21:00+00:00,37.15676,-8.54684,87.014244,3.9,9.164256,329.60995,6.0,56.23574520996666,13,1.666
43,2021-07-08 18:21:06+00:00,37.157234,-8.546968,87.28791,4.094,6.704963,357.64688,6.0,53.91323975098323,13,1.72
44,2021-07-08 18:21:09+00:00,37.157356,-8.546958,87.70548,4.288,3.0830698,349.82986,3.0,13.594696353818646,13,1.734
45,2021-07-08 18:21:18+00:00,37.157406,-8.546955,89.3713,15.353,0.77802724,172.04413,9.0,5.56609925605668,13,1.739
46,2021-07-08 18:21:53.902000+00:00,37.15748,-8.546926,88.45618,6.974,2.4335585,21.13825,35.902,8.62042733975419,14,1.748
47,2021-07-08 18:22:00+00:00,37.157757,-8.546748,94.08158,7.504,7.9943147,29.638037,6.098,34.60535404103058,14,1.783
48,2021-07-08 18:22:03+00:00,37.15798,-8.546565,85.4416,9.648,10.277373,32.864178,3.0,29.628835296458355,14,1.812
49,2021-07-08 18:22:06+00:00,37.158237,-8.54633,81.01273,7.504,8.813622,34.01784,3.0,35.36032421645336,14,1.848
50,2021-07-08 18:22:12+00:00,37.158627,-8.546149,79.80979,10.184,7.3678403,355.93295,6.0,46.23736274317107,14,1.894
51,2021-07-08 18:22:15+00:00,37.15886,-8.54635,79.07222,9.112,8.786123,331.91135,3.0,31.440811123486164,14,1.925
52,2021-07-08 18:22:21+00:00,37.15918,-8.546821,80.37131,4.094,5.1288137,303.51855,6.0,54.84762476467563,14,1.98
53,2021-07-08 18:22:30+00:00,37.159176,-8.546852,82.749916,13.219,1.1672095,130.24709,9.0,2.78293003914823,15,1.983
54,2021-07-08 18:23:31+00:00,37.159176,-8.547138,84.927895,14.109,6.4824257,265.18607,61.0,25.34473782116587,16,2.008
55,2021-07-08 18:23:37+00:00,37.159187,-8.547731,86.824875,8.04,8.091757,279.6204,6.0,52.564681862416556,16,2.061
56,2021-07-08 18:23:43+00:00,37.15947,-8.548174,84.82502,5.36,8.472559,335.4968,6.0,50.31312675766997,16,2.111
57,2021-07-08 18:23:49+00:00,37.15993,-8.548437,89.87863,7.504,9.133276,312.55838,6.0,56.20920670610227,16,2.167
58,2021-07-08 18:23:55+00:00,37.16028,-8.548869,92.342606,6.968,9.212167,342.10843,6.0,54.59099960205541,16,2.222
59,2021-07-08 18:24:01+00:00,37.160698,-8.548979,91.58379,5.36,7.6367054,349.08154,6.0,47.49064893602871,16,2.269
60,2021-07-08 18:24:04+00:00,37.160923,-8.548998,93.5738,6.432,8.783326,349.27393,3.0,25.075449001764532,16,2.294
61,2021-07-08 18:24:10+00:00,37.16136,-8.549102,92.71653,7.504,8.003144,349.8549,6.0,49.45842120131255,16,2.344
62,2021-07-08 18:24:16+00:00,37.16178,-8.549175,93.67869,9.648,8.51712,351.8741,6.0,47.14776068504657,16,2.391
63,2021-07-08 18:24:19+00:00,37.162037,-8.549229,95.186516,9.112,9.466126,347.04514,3.0,28.974963943279125,16,2.42
64,2021-07-08 18:24:22+00:00,37.162273,-8.54929,95.80769,6.968,8.656088,345.0412,3.0,26.792945888402766,16,2.447
65,2021-07-08 18:24:28+00:00,37.162663,-8.549387,90.0687,9.112,7.3862524,347.19052,6.0,44.20967771994825,16,2.491
66,2021-07-08 18:24:34+00:00,37.163048,-8.549517,97.47808,8.04,8.158092,341.33698,6.0,44.33289197344508,17,2.535
67,2021-07-08 18:24:40+00:00,37.16347,-8.549749,99.50428,8.576,8.731499,345.43466,6.0,51.23014765336391,17,2.587
68,2021-07-08 18:24:43+00:00,37.163715,-8.54982,100.579735,10.184,9.077939,350.1931,3.0,27.95980832898947,17,2.615
69,2021-07-08 18:24:46+00:00,37.16396,-8.549825,102.46372,11.792,8.2869625,358.93582,3.0,27.24635966202008,17,2.642
70,2021-07-08 18:24:49+00:00,37.164227,-8.549811,102.45048,8.04,9.76342,357.138,3.0,29.714953028606878,17,2.671
71,2021-07-08 18:24:55+00:00,37.16488,-8.549779,89.28197,4.63,12.509369,357.13794,6.0,72.66563333194684,17,2.744
72,2021-07-08 18:25:01+00:00,37.165447,-8.549801,89.78404,9.648,7.3946805,357.98853,6.0,63.07765473805478,17,2.807
73,2021-07-08 18:25:36.857000+00:00,37.165607,-8.549828,87.37208,6.055,0.09337751,295.33447,35.857,17.951333085215783,18,2.825
74,2021-07-08 18:26:07+00:00,37.16569,-8.549857,86.59241,16.044,2.4382381,337.89108,30.143,9.580245621844348,18,2.835
75,2021-07-08 18:26:10+00:00,37.16591,-8.550095,90.84238,12.461,8.580294,321.03738,3.0,32.298424041841855,18,2.867
76,2021-07-08 18:26:16+00:00,37.166286,-8.550524,91.86441,6.432,8.026138,315.10458,6.0,56.507102638467956,18,2.924
77,2021-07-08 18:26:22+00:00,37.16661,-8.550888,91.55933,9.112,7.7383337,318.00595,6.0,48.355619231306555,18,2.972
78,2021-07-08 18:26:28+00:00,37.166927,-8.551228,96.1191,12.328,7.635363,319.0015,6.0,46.3693687727667,18,3.018
79,2021-07-08 18:26:34+00:00,37.167282,-8.5514555,89.67432,11.792,8.842494,333.01398,6.0,44.32354214057605,19,3.063
80,2021-07-08 18:26:40+00:00,37.167633,-8.551651,100.24524,4.824,2.9027996,351.87244,6.0,42.701041142137754,19,3.105
81,2021-07-08 18:26:44.598000+00:00,37.167706,-8.551671,102.90233,20.938,1.2649173,353.41443,4.598,8.308427569005213,19,3.114
82,2021-07-08 18:26:54.697000+00:00,37.167763,-8.551692,99.44223,4.715,1.908489,341.09674,10.099,6.6056113174722775,19,3.12
83,2021-07-08 18:27:28+00:00,37.167946,-8.551771,95.54677,5.36,6.218591,345.76218,33.303,21.519029964680342,19,3.142
84,2021-07-08 18:27:31+00:00,37.16815,-8.551818,102.15907,6.432,7.467531,346.1383,3.0,23.062886168238713,20,3.165
85,2021-07-08 18:27:37+00:00,37.168636,-8.55189,106.02586,11.792,9.080475,5.0466466,6.0,54.416006265029246,20,3.219
86,2021-07-08 18:27:40+00:00,37.1689,-8.551771,114.146736,10.184,9.141802,19.6641,3.0,31.19171706056404,20,3.25
87,2021-07-08 18:27:46+00:00,37.16929,-8.551392,101.72053,8.576,7.9515395,32.149048,6.0,54.848420030056765,20,3.305
88,2021-07-08 18:27:49+00:00,37.169453,-8.551232,108.45014,8.04,8.375379,22.48244,3.0,23.010728886968497,20,3.328
89,2021-07-08 18:27:55+00:00,37.16989,-8.551264,103.49023,5.36,7.7648153,321.99356,6.0,48.67483568831225,20,3.377
90,2021-07-08 18:28:01+00:00,37.170067,-8.551597,106.54485,11.792,3.2433507,284.10083,6.0,35.46744807484058,20,3.412
91,2021-07-08 18:28:04+00:00,37.170067,-8.551745,109.01314,19.016,3.9448829,313.34265,3.0,13.113568976401375,20,3.426
